campaign_id,channel,campaign_name,spend,impressions,clicks,conversions,revenue,date,month,ctr,conversion_rate,cac,roas
CMP0308,LinkedIn Ads,Flash Sale,856.65,187951.0,255.0,141.0,21287.79,2024-01-05,2024-01,0.14,55.29,6.08,24.85
CMP0311,Google Ads,Summer Sale,11665.4,22661.0,1723.0,84.0,11195.05,2024-11-04,2024-11,7.6,4.88,138.87,0.96
CMP0312,Google Ads,Summer Sale,5778.43,5892.0,1711.0,124.0,6752.32,2024-01-11,2024-01,29.04,7.25,46.6,1.17
CMP0314,Email,Retargeting,6484.85,24669.0,577.0,112.0,5999.68,2024-02-24,2024-02,2.34,19.41,57.9,0.93
CMP0315,Instagram,Summer Sale,11907.69,150884.0,2488.0,145.0,30705.75,2024-07-11,2024-07,1.65,5.83,82.12,2.58
CMP0316,Instagram,Diwali Offer,14621.49,189662.0,2380.0,141.0,32771.73,2024-06-20,2024-06,1.25,5.92,103.7,2.24
CMP0317,Facebook Ads,Flash Sale,7039.93,137814.0,1997.0,77.0,24192.81,2024-03-29,2024-03,1.45,3.86,91.43,3.44
CMP0318,Email,New Launch,5798.98,6405.0,2009.0,71.0,568.63,2024-03-20,2024-03,31.37,3.53,81.68,0.1
CMP0319,Google Ads,Summer Sale,3601.12,4436.0,2605.0,123.0,3623.17,2024-03-04,2024-03,58.72,4.72,29.28,1.01
CMP0320,Instagram,Brand Awareness,11104.51,112779.0,2168.0,102.0,36363.07,2024-06-19,2024-06,1.92,4.7,108.87,3.27
